id;data_inicio;data_fim;dia_todo;falta;cancelou
1;2020-01-05T11:03:50;2020-01-06T10:40:55;false;false;true
2;2020-01-06T08:53:21;2020-01-06T04:44:07;false;true;true
3;2020-01-06T03:35:40;2020-01-06T10:03:32;false;true;true
4;2020-01-06T00:40:08;2020-01-06T07:39:56;false;false;false
5;2020-01-06T06:13:32;2020-01-06T01:21:00;false;true;true
6;2020-01-05T17:03:15;2020-01-06T10:44:00;true;false;true
7;2020-01-06T10:33:55;2020-01-05T15:53:55;true;true;true
8;2020-01-06T06:42:41;2020-01-06T04:20:23;true;false;false
9;2020-01-06T09:18:21;2020-01-06T05:44:13;false;true;true
10;2020-01-06T08:02:44;2020-01-05T11:38:25;false;false;true
